,vi,uH,vni,vniH,vps,vpsH,viscii,visciiH,tcvn3,tcvn3H,viqr,name,koDau,spec,tone,koDauT
36,đ,U+0111,ñ,F1,Ç,C7,ð,F0,®,AE,dd,LATIN SMALL LETTER D WITH STROKE,d,STROKE,,đ
37,Ĩ,U+0128,Ó,D3,¸,B8,Î,CE,IÜ,49 DC,I~,LATIN CAPITAL LETTER I WITH TILDE,I,,TILDE,I
38,ĩ,U+0129,ó,F3,ï,EF,î,EE,Ü,DC,i~,LATIN SMALL LETTER I WITH TILDE,i,,TILDE,i
39,Ũ,U+0168,UÕ,55 D5,¬,AC,,9D,Uò,55 F2,U~,LATIN CAPITAL LETTER U WITH TILDE,U,,TILDE,U
40,ũ,U+0169,uõ,75 F5,Û,DB,û,FB,ò,F2,u~,LATIN SMALL LETTER U WITH TILDE,u,,TILDE,u
41,Ơ,U+01A0,Ô,D4,÷,F7,´,B4,¥,A5,O+,LATIN CAPITAL LETTER O WITH HORN,O,HORN,,Ơ
42,ơ,U+01A1,ô,F4,Ö,D6,½,BD,¬,AC,o+,LATIN SMALL LETTER O WITH HORN,o,HORN,,ơ
43,Ư,U+01AF,Ö,D6,Ð,D0,¿,BF,¦,A6,U+,LATIN CAPITAL LETTER U WITH HORN,U,HORN,,Ư
44,ư,U+01B0,ö,F6,Ü,DC,ß,DF,­,AD,u+,LATIN SMALL LETTER U WITH HORN,u,HORN,,ư
45,Ạ,U+1EA0,AÏ,41 CF,[1],02,€,80,A¹,41 B9,A.,LATIN CAPITAL LETTER A WITH DOT BELOW,A,,DOT BELOW,A
46,ạ,U+1EA1,aï,61 EF,å,E5,Õ,D5,¹,B9,a.,LATIN SMALL LETTER A WITH DOT BELOW,a,,DOT BELOW,a
47,Ả,U+1EA2,AÛ,41 DB,,81,Ä,C4,A¶,41 B6,A?,LATIN CAPITAL LETTER A WITH HOOK ABOVE,A,,HOOK ABOVE,A
48,ả,U+1EA3,aû,61 FB,ä,E4,ä,E4,¶,B6,a?,LATIN SMALL LETTER A WITH HOOK ABOVE,a,,HOOK ABOVE,a
49,Ấ,U+1EA4,AÁ,41 C1,ƒ,83,„,84,¢Ê,A2 CA,A^',LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND ACUTE,A,CIRCUMFLEX,ACUTE,Â
50,ấ,U+1EA5,aá,61 E1,Ã,C3,¤,A4,Ê,CA,a^',LATIN SMALL LETTER A WITH CIRCUMFLEX AND ACUTE,a,CIRCUMFLEX,ACUTE,â
51,Ầ,U+1EA6,AÀ,41 C0,„,84,…,85,¢Ç,A2 C7,A^`,LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND GRAVE,A,CIRCUMFLEX,GRAVE,Â
